bp mp dr ps lb sft
4 1 4 2 2 3 unacc
4 1 4 2 big 1 unacc
4 1 4 2 big 2 unacc
4 1 4 2 big 3 unacc
4 1 4 4 small 1 unacc
4 1 4 4 small 2 unacc
4 1 4 4 small 3 acc
4 1 4 4 2 1 unacc
4 1 4 4 2 2 acc
4 1 4 4 2 3 acc
4 1 4 4 big 1 unacc
4 1 4 4 big 2 acc
4 1 4 4 big 3 acc
4 1 4 more small 1 unacc
4 1 4 more small 2 unacc
4 1 4 more small 3 acc
4 1 4 more 2 1 unacc
4 1 4 more 2 2 acc
4 1 4 more 2 3 acc
4 1 4 more big 1 unacc
4 1 4 more big 2 acc
4 1 4 more big 3 acc
4 1 5more 2 small 1 unacc
4 1 5more 2 small 2 unacc
4 1 5more 2 small 3 unacc
4 1 5more 2 2 1 unacc
4 1 5more 2 2 2 unacc
4 1 5more 2 2 3 unacc
4 1 5more 2 big 1 unacc
4 1 5more 2 big 2 unacc
4 1 5more 2 big 3 unacc
4 1 5more 4 small 1 unacc
4 1 5more 4 small 2 unacc
4 1 5more 4 small 3 acc
4 1 5more 4 2 1 unacc
4 1 5more 4 2 2 acc
4 1 5more 4 2 3 acc
4 1 5more 4 big 1 unacc
4 1 5more 4 big 2 acc
4 1 5more 4 big 3 acc
4 1 5more more small 1 unacc
4 1 5more more small 2 unacc
4 1 5more more small 3 acc
4 1 5more more 2 1 unacc
4 1 5more more 2 2 acc
4 1 5more more 2 3 acc
4 1 5more more big 1 unacc
4 1 5more more big 2 acc
4 1 5more more big 3 acc
3 4 2 2 small 1 unacc
3 4 2 2 small 2 unacc
3 4 2 2 small 3 unacc
3 4 2 2 2 1 unacc
3 4 2 2 2 2 unacc
3 4 2 2 2 3 unacc
3 4 2 2 big 1 unacc
3 4 2 2 big 2 unacc
3 4 2 2 big 3 unacc
3 4 2 4 small 1 unacc
3 4 2 4 small 2 unacc
3 4 2 4 small 3 unacc
3 4 2 4 2 1 unacc
3 4 2 4 2 2 unacc
3 4 2 4 2 3 unacc
3 4 2 4 big 1 unacc
3 4 2 4 big 2 unacc
3 4 2 4 big 3 unacc
3 4 2 more small 1 unacc
3 4 2 more small 2 unacc
3 4 2 more small 3 unacc
3 4 2 more 2 1 unacc
3 4 2 more 2 2 unacc
3 4 2 more 2 3 unacc
3 4 2 more big 1 unacc
3 4 2 more big 2 unacc
3 4 2 more big 3 unacc
3 4 3 2 small 1 unacc
3 4 3 2 small 2 unacc
3 4 3 2 small 3 unacc
3 4 3 2 2 1 unacc
3 4 3 2 2 2 unacc
3 4 3 2 2 3 unacc
3 4 3 2 big 1 unacc
3 4 3 2 big 2 unacc
3 4 3 2 big 3 unacc
3 4 3 4 small 1 unacc
3 4 3 4 small 2 unacc
3 4 3 4 small 3 unacc
3 4 3 4 2 1 unacc
3 4 3 4 2 2 unacc
3 4 3 4 2 3 unacc
3 4 3 4 big 1 unacc
3 4 3 4 big 2 unacc
3 4 3 4 big 3 unacc
3 4 3 more small 1 unacc
3 4 3 more small 2 unacc
3 4 3 more small 3 unacc
3 4 3 more 2 1 unacc
3 4 3 more 2 2 unacc
3 4 3 more 2 3 unacc
3 4 3 more big 1 unacc
3 4 3 more big 2 unacc
3 4 3 more big 3 unacc
3 4 4 2 small 1 unacc
3 4 4 2 small 2 unacc
3 4 4 2 small 3 unacc
3 4 4 2 2 1 unacc
3 4 4 2 2 2 unacc
3 4 4 2 2 3 unacc
3 4 4 2 big 1 unacc
3 4 4 2 big 2 unacc
3 4 4 2 big 3 unacc
3 4 4 4 small 1 unacc
3 4 4 4 small 2 unacc
3 4 4 4 small 3 unacc
3 4 4 4 2 1 unacc
3 4 4 4 2 2 unacc
3 4 4 4 2 3 unacc
3 4 4 4 big 1 unacc
3 4 4 4 big 2 unacc
3 4 4 4 big 3 unacc
3 4 4 more small 1 unacc
3 4 4 more small 2 unacc
3 4 4 more small 3 unacc
3 4 4 more 2 1 unacc
3 4 4 more 2 2 unacc
3 4 4 more 2 3 unacc
3 4 4 more big 1 unacc
3 4 4 more big 2 unacc
3 4 4 more big 3 unacc
3 4 5more 2 small 1 unacc
3 4 5more 2 small 2 unacc
3 4 5more 2 small 3 unacc
3 4 5more 2 2 1 unacc
3 4 5more 2 2 2 unacc
3 4 5more 2 2 3 unacc
3 4 5more 2 big 1 unacc
3 4 5more 2 big 2 unacc
3 4 5more 2 big 3 unacc
3 4 5more 4 small 1 unacc
3 4 5more 4 small 2 unacc
3 4 5more 4 small 3 unacc
3 4 5more 4 2 1 unacc
3 4 5more 4 2 2 unacc
3 4 5more 4 2 3 unacc
3 4 5more 4 big 1 unacc
3 4 5more 4 big 2 unacc
3 4 5more 4 big 3 unacc
3 4 5more more small 1 unacc
3 4 5more more small 2 unacc
3 4 5more more small 3 unacc
3 4 5more more 2 1 unacc
3 4 5more more 2 2 unacc
3 4 5more more 2 3 unacc
3 4 5more more big 1 unacc
3 4 5more more big 2 unacc
3 4 5more more big 3 unacc
3 3 2 2 small 1 unacc
3 3 2 2 small 2 unacc
3 3 2 2 small 3 unacc
3 3 2 2 2 1 unacc
3 3 2 2 2 2 unacc
3 3 2 2 2 3 unacc
3 3 2 2 big 1 unacc
3 3 2 2 big 2 unacc
3 3 2 2 big 3 unacc
3 3 2 4 small 1 unacc
3 3 2 4 small 2 unacc
3 3 2 4 small 3 acc
3 3 2 4 2 1 unacc
3 3 2 4 2 2 unacc
3 3 2 4 2 3 acc
3 3 2 4 big 1 unacc
3 3 2 4 big 2 acc
3 3 2 4 big 3 acc
3 3 2 more small 1 unacc
3 3 2 more small 2 unacc
3 3 2 more small 3 unacc
3 3 2 more 2 1 unacc
3 3 2 more 2 2 unacc
3 3 2 more 2 3 acc
3 3 2 more big 1 unacc
3 3 2 more big 2 acc
3 3 2 more big 3 acc
3 3 3 2 small 1 unacc
3 3 3 2 small 2 unacc
3 3 3 2 small 3 unacc
3 3 3 2 2 1 unacc
3 3 3 2 2 2 unacc
3 3 3 2 2 3 unacc
3 3 3 2 big 1 unacc
3 3 3 2 big 2 unacc
3 3 3 2 big 3 unacc
3 3 3 4 small 1 unacc
3 3 3 4 small 2 unacc
3 3 3 4 small 3 acc
3 3 3 4 2 1 unacc
3 3 3 4 2 2 unacc
3 3 3 4 2 3 acc
3 3 3 4 big 1 unacc
3 3 3 4 big 2 acc
3 3 3 4 big 3 acc
3 3 3 more small 1 unacc
3 3 3 more small 2 unacc
3 3 3 more small 3 acc
3 3 3 more 2 1 unacc
3 3 3 more 2 2 acc
3 3 3 more 2 3 acc
3 3 3 more big 1 unacc
3 3 3 more big 2 acc
3 3 3 more big 3 acc
3 3 4 2 small 1 unacc
3 3 4 2 small 2 unacc
3 3 4 2 small 3 unacc
3 3 4 2 2 1 unacc
3 3 4 2 2 2 unacc
3 3 4 2 2 3 unacc
3 3 4 2 big 1 unacc
3 3 4 2 big 2 unacc
3 3 4 2 big 3 unacc
3 3 4 4 small 1 unacc
3 3 4 4 small 2 unacc
3 3 4 4 small 3 acc
3 3 4 4 2 1 unacc
3 3 4 4 2 2 acc
3 3 4 4 2 3 acc
3 3 4 4 big 1 unacc
3 3 4 4 big 2 acc
3 3 4 4 big 3 acc
3 3 4 more small 1 unacc
3 3 4 more small 2 unacc
3 3 4 more small 3 acc
3 3 4 more 2 1 unacc
3 3 4 more 2 2 acc
3 3 4 more 2 3 acc
3 3 4 more big 1 unacc
3 3 4 more big 2 acc
3 3 4 more big 3 acc
3 3 5more 2 small 1 unacc
3 3 5more 2 small 2 unacc
3 3 5more 2 small 3 unacc
3 3 5more 2 2 1 unacc
3 3 5more 2 2 2 unacc
3 3 5more 2 2 3 unacc
3 3 5more 2 big 1 unacc
3 3 5more 2 big 2 unacc
3 3 5more 2 big 3 unacc
3 3 5more 4 small 1 unacc
3 3 5more 4 small 2 unacc
3 3 5more 4 small 3 acc
3 3 5more 4 2 1 unacc
3 3 5more 4 2 2 acc
3 3 5more 4 2 3 acc
3 3 5more 4 big 1 unacc
3 3 5more 4 big 2 acc
3 3 5more 4 big 3 acc
3 3 5more more small 1 unacc
3 3 5more more small 2 unacc
3 3 5more more small 3 acc
3 3 5more more 2 1 unacc
3 3 5more more 2 2 acc
3 3 5more more 2 3 acc
3 3 5more more big 1 unacc
3 3 5more more big 2 acc
3 3 5more more big 3 acc
3 2 2 2 small 1 unacc
3 2 2 2 small 2 unacc
3 2 2 2 small 3 unacc
3 2 2 2 2 1 unacc
3 2 2 2 2 2 unacc
3 2 2 2 2 3 unacc
3 2 2 2 big 1 unacc
3 2 2 2 big 2 unacc
3 2 2 2 big 3 unacc
3 2 2 4 small 1 unacc
3 2 2 4 small 2 unacc
3 2 2 4 small 3 acc
3 2 2 4 2 1 unacc
3 2 2 4 2 2 unacc
3 2 2 4 2 3 acc
3 2 2 4 big 1 unacc
3 2 2 4 big 2 acc
3 2 2 4 big 3 acc
3 2 2 more small 1 unacc
3 2 2 more small 2 unacc
3 2 2 more small 3 unacc
3 2 2 more 2 1 unacc
3 2 2 more 2 2 unacc
3 2 2 more 2 3 acc
3 2 2 more big 1 unacc
3 2 2 more big 2 acc
3 2 2 more big 3 acc
3 2 3 2 small 1 unacc
3 2 3 2 small 2 unacc
3 2 3 2 small 3 unacc
3 2 3 2 2 1 unacc
3 2 3 2 2 2 unacc
3 2 3 2 2 3 unacc
3 2 3 2 big 1 unacc
3 2 3 2 big 2 unacc
3 2 3 2 big 3 unacc
3 2 3 4 small 1 unacc
3 2 3 4 small 2 unacc
3 2 3 4 small 3 acc
3 2 3 4 2 1 unacc
3 2 3 4 2 2 unacc
3 2 3 4 2 3 acc
3 2 3 4 big 1 unacc
3 2 3 4 big 2 acc
3 2 3 4 big 3 acc
3 2 3 more small 1 unacc
3 2 3 more small 2 unacc
3 2 3 more small 3 acc
3 2 3 more 2 1 unacc
3 2 3 more 2 2 acc
3 2 3 more 2 3 acc
3 2 3 more big 1 unacc
3 2 3 more big 2 acc
3 2 3 more big 3 acc
3 2 4 2 small 1 unacc
3 2 4 2 small 2 unacc
3 2 4 2 small 3 unacc
3 2 4 2 2 1 unacc
3 2 4 2 2 2 unacc
3 2 4 2 2 3 unacc
3 2 4 2 big 1 unacc
3 2 4 2 big 2 unacc
3 2 4 2 big 3 unacc
3 2 4 4 small 1 unacc
3 2 4 4 small 2 unacc
3 2 4 4 small 3 acc
3 2 4 4 2 1 unacc
3 2 4 4 2 2 acc
3 2 4 4 2 3 acc
3 2 4 4 big 1 unacc
3 2 4 4 big 2 acc
3 2 4 4 big 3 acc
3 2 4 more small 1 unacc
3 2 4 more small 2 unacc
3 2 4 more small 3 acc
3 2 4 more 2 1 unacc
3 2 4 more 2 2 acc
3 2 4 more 2 3 acc
3 2 4 more big 1 unacc
3 2 4 more big 2 acc
3 2 4 more big 3 acc
3 2 5more 2 small 1 unacc
3 2 5more 2 small 2 unacc
3 2 5more 2 small 3 unacc
3 2 5more 2 2 1 unacc
3 2 5more 2 2 2 unacc
3 2 5more 2 2 3 unacc
3 2 5more 2 big 1 unacc
3 2 5more 2 big 2 unacc
3 2 5more 2 big 3 unacc
3 2 5more 4 small 1 unacc
3 2 5more 4 small 2 unacc
3 2 5more 4 small 3 acc
3 2 5more 4 2 1 unacc
3 2 5more 4 2 2 acc
3 2 5more 4 2 3 acc
3 2 5more 4 big 1 unacc
3 2 5more 4 big 2 acc
3 2 5more 4 big 3 acc
3 2 5more more small 1 unacc
3 2 5more more small 2 unacc
3 2 5more more small 3 acc
3 2 5more more 2 1 unacc
3 2 5more more 2 2 acc
3 2 5more more 2 3 acc
3 2 5more more big 1 unacc
3 2 5more more big 2 acc
3 2 5more more big 3 acc
3 1 2 2 small 1 unacc
3 1 2 2 small 2 unacc
3 1 2 2 small 3 unacc
3 1 2 2 2 1 unacc
3 1 2 2 2 2 unacc
3 1 2 2 2 3 unacc
3 1 2 2 big 1 unacc
3 1 2 2 big 2 unacc
3 1 2 2 big 3 unacc
3 1 2 4 small 1 unacc
3 1 2 4 small 2 unacc
3 1 2 4 small 3 acc
3 1 2 4 2 1 unacc
3 1 2 4 2 2 unacc
3 1 2 4 2 3 acc
3 1 2 4 big 1 unacc
3 1 2 4 big 2 acc
3 1 2 4 big 3 acc
3 1 2 more small 1 unacc
3 1 2 more small 2 unacc
3 1 2 more small 3 unacc
3 1 2 more 2 1 unacc
3 1 2 more 2 2 unacc
3 1 2 more 2 3 acc
3 1 2 more big 1 unacc
3 1 2 more big 2 acc
3 1 2 more big 3 acc
3 1 3 2 small 1 unacc
3 1 3 2 small 2 unacc
3 1 3 2 small 3 unacc
3 1 3 2 2 1 unacc
3 1 3 2 2 2 unacc
3 1 3 2 2 3 unacc
3 1 3 2 big 1 unacc
3 1 3 2 big 2 unacc
3 1 3 2 big 3 unacc
3 1 3 4 small 1 unacc
3 1 3 4 small 2 unacc
3 1 3 4 small 3 acc
3 1 3 4 2 1 unacc
3 1 3 4 2 2 unacc
3 1 3 4 2 3 acc
3 1 3 4 big 1 unacc
3 1 3 4 big 2 acc
3 1 3 4 big 3 acc
3 1 3 more small 1 unacc
3 1 3 more small 2 unacc
3 1 3 more small 3 acc
3 1 3 more 2 1 unacc
3 1 3 more 2 2 acc
3 1 3 more 2 3 acc
3 1 3 more big 1 unacc
3 1 3 more big 2 acc
3 1 3 more big 3 acc
3 1 4 2 small 1 unacc
3 1 4 2 small 2 unacc
3 1 4 2 small 3 unacc
3 1 4 2 2 1 unacc
3 1 4 2 2 2 unacc
3 1 4 2 2 3 unacc
3 1 4 2 big 1 unacc
3 1 4 2 big 2 unacc
3 1 4 2 big 3 unacc
3 1 4 4 small 1 unacc
3 1 4 4 small 2 unacc
3 1 4 4 small 3 acc
3 1 4 4 2 1 unacc
3 1 4 4 2 2 acc
3 1 4 4 2 3 acc
3 1 4 4 big 1 unacc
3 1 4 4 big 2 acc
3 1 4 4 big 3 acc
3 1 4 more small 1 unacc
3 1 4 more small 2 unacc
3 1 4 more small 3 acc
3 1 4 more 2 1 unacc
3 1 4 more 2 2 acc
3 1 4 more 2 3 acc
3 1 4 more big 1 unacc
3 1 4 more big 2 acc
3 1 4 more big 3 acc
3 1 5more 2 small 1 unacc
3 1 5more 2 small 2 unacc
3 1 5more 2 small 3 unacc
3 1 5more 2 2 1 unacc
3 1 5more 2 2 2 unacc
3 1 5more 2 2 3 unacc
3 1 5more 2 big 1 unacc
3 1 5more 2 big 2 unacc
3 1 5more 2 big 3 unacc
3 1 5more 4 small 1 unacc
3 1 5more 4 small 2 unacc
3 1 5more 4 small 3 acc
3 1 5more 4 2 1 unacc
3 1 5more 4 2 2 acc
3 1 5more 4 2 3 acc
3 1 5more 4 big 1 unacc
3 1 5more 4 big 2 acc
3 1 5more 4 big 3 acc
3 1 5more more small 1 unacc
3 1 5more more small 2 unacc
3 1 5more more small 3 acc
3 1 5more more 2 1 unacc
3 1 5more more 2 2 acc
3 1 5more more 2 3 acc
3 1 5more more big 1 unacc
3 1 5more more big 2 acc
3 1 5more more big 3 acc
2 4 2 2 small 1 unacc
2 4 2 2 small 2 unacc
2 4 2 2 small 3 unacc
2 4 2 2 2 1 unacc
2 4 2 2 2 2 unacc
2 4 2 2 2 3 unacc
2 4 2 2 big 1 unacc
2 4 2 2 big 2 unacc
2 4 2 2 big 3 unacc
2 4 2 4 small 1 unacc
2 4 2 4 small 2 unacc
2 4 2 4 small 3 acc
2 4 2 4 2 1 unacc
2 4 2 4 2 2 unacc
2 4 2 4 2 3 acc
2 4 2 4 big 1 unacc
2 4 2 4 big 2 acc
2 4 2 4 big 3 acc
2 4 2 more small 1 unacc
2 4 2 more small 2 unacc
2 4 2 more small 3 unacc
2 4 2 more 2 1 unacc
2 4 2 more 2 2 unacc
2 4 2 more 2 3 acc
